rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
280.0,University of Newcastle,46.26,27.4,26.5,67.2,64.4,75.9,23508.0,0.22,0.18,2016,0.49,0.29,0.27,0.67,0.64,0.76,0.06,0.13,0.22,2021,-5
230.0,University of Ottawa,48.68,37.1,36.7,61.5,41.5,69.9,36733.0,0.26,0.15,2016,0.51,0.39,0.37,0.62,0.42,0.7,0.1,0.16,0.18,2021,-5
120.0,University of Birmingham,56.2,39.4,41.8,82.7,34.7,82.0,25295.0,0.16,0.23,2016,0.59,0.41,0.42,0.83,0.35,0.82,0.07,0.1,0.28,2023,-7
70.0,Durham University,63.6,47.9,51.9,87.7,34.4,86.4,15489.0,0.16,0.24,2016,0.67,0.5,0.52,0.88,0.34,0.86,0.04,0.1,0.29,2020,-4
473.0,University of Portsmouth,39.79,17.2,10.9,58.2,28.9,79.3,20161.0,0.19,0.23,2016,0.42,0.18,0.11,0.58,0.29,0.79,0.05,0.12,0.28,2021,-5
505.0,Auburn University,38.98,30.2,19.4,21.0,37.2,27.9,22386.0,0.18,0.04,2016,0.41,0.32,0.2,0.21,0.37,0.28,0.06,0.11,0.05,2019,-3
177.0,University College Dublin,50.6,35.0,38.5,70.8,33.5,86.3,22193.0,0.24,0.23,2016,0.53,0.37,0.39,0.71,0.34,0.86,0.06,0.15,0.28,2020,-4
383.0,University of South Australia,42.39,26.4,26.7,41.2,85.9,89.0,18971.0,0.26,0.32,2016,0.45,0.28,0.27,0.41,0.86,0.89,0.05,0.16,0.39,2015,1
367.0,La Trobe University,42.92,27.0,28.5,45.4,43.7,78.0,22037.0,0.29,0.27,2016,0.45,0.28,0.29,0.45,0.44,0.78,0.06,0.18,0.33,2015,1
144.0,University of Nottingham,54.1,40.3,39.0,77.5,39.8,80.6,30144.0,0.15,0.27,2016,0.57,0.42,0.39,0.78,0.4,0.81,0.08,0.09,0.33,2021,-5
303.0,Aberystwyth University,45.28,21.6,18.9,67.2,31.3,72.2,9252.0,0.19,0.18,2016,0.48,0.23,0.19,0.67,0.31,0.72,0.02,0.12,0.22,2021,-5
24.0,University of Edinburgh,80.3,68.6,77.2,96.3,36.1,89.8,25774.0,0.14,0.36,2016,0.84,0.72,0.78,0.96,0.36,0.9,0.07,0.09,0.44,2017,-1
492.0,Ulster University,39.31,19.1,13.2,44.1,29.2,79.0,19622.0,0.16,0.15,2016,0.41,0.2,0.13,0.44,0.29,0.79,0.05,0.1,0.18,2020,-4
173.0,University of Auckland,51.0,31.4,39.5,69.8,78.0,90.5,29787.0,0.19,0.28,2016,0.54,0.33,0.4,0.7,0.78,0.91,0.08,0.12,0.34,2018,-2
265.0,University of Georgia,46.94,41.1,30.5,52.2,30.9,39.2,33119.0,0.2,0.07,2016,0.49,0.43,0.31,0.52,0.31,0.39,0.09,0.12,0.09,2020,-4
308.0,University of Cincinnati,45.08,31.3,20.4,72.1,35.3,28.3,36108.0,0.16,0.06,2016,0.47,0.33,0.21,0.72,0.35,0.28,0.1,0.1,0.07,2017,-1
191.0,Boston College,49.6,34.1,29.3,83.3,46.8,60.0,13216.0,0.17,0.19,2016,0.52,0.36,0.3,0.83,0.47,0.6,0.03,0.1,0.23,2015,1
350.0,York University,43.51,30.2,30.8,49.1,33.2,58.2,48007.0,0.39,0.09,2016,0.46,0.32,0.31,0.49,0.33,0.58,0.13,0.24,0.11,2019,-3
168.0,University of Leicester,51.1,32.1,27.8,86.0,31.7,86.6,14541.0,0.13,0.35,2016,0.54,0.34,0.28,0.86,0.32,0.87,0.04,0.08,0.43,2016,0
38.0,McGill University,72.6,66.1,72.1,78.9,40.3,85.5,31326.0,0.14,0.23,2016,0.76,0.69,0.73,0.79,0.4,0.86,0.08,0.09,0.28,2020,-4
