rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
298.0,University of Newcastle,38.08,18.2,27.1,35.8,64.8,76.3,23508.0,0.22,0.18,2012,0.4,0.19,0.27,0.36,0.65,0.77,0.18,0.31,0.33,2021,-9
185.0,University of Ottawa,43.2,38.9,34.8,54.8,36.9,49.6,36733.0,0.26,0.15,2012,0.46,0.41,0.35,0.55,0.37,0.5,0.29,0.36,0.28,2021,-9
148.0,University of Birmingham,46.9,42.6,42.6,50.6,36.0,70.3,25295.0,0.16,0.23,2012,0.49,0.44,0.43,0.51,0.36,0.71,0.2,0.22,0.43,2023,-11
83.0,Durham University,56.4,32.5,37.9,96.2,30.5,75.8,15489.0,0.16,0.24,2012,0.59,0.34,0.38,0.96,0.3,0.77,0.12,0.22,0.44,2020,-8
353.0,Auburn University,35.65,33.7,18.7,10.3,47.3,22.5,22386.0,0.18,0.04,2012,0.38,0.35,0.19,0.1,0.47,0.23,0.18,0.25,0.07,2019,-7
160.0,University College Dublin,45.9,25.2,23.7,80.5,32.3,83.2,22193.0,0.24,0.23,2012,0.48,0.26,0.24,0.8,0.32,0.84,0.17,0.33,0.43,2020,-8
394.0,University of South Australia,34.08,20.6,18.0,19.4,87.7,81.8,18971.0,0.26,0.32,2012,0.36,0.22,0.18,0.19,0.88,0.83,0.15,0.36,0.59,2015,-3
366.0,La Trobe University,35.13,19.0,19.5,13.6,28.9,71.3,22037.0,0.29,0.27,2012,0.37,0.2,0.2,0.14,0.29,0.72,0.17,0.4,0.5,2015,-3
140.0,University of Nottingham,47.7,40.2,40.0,57.6,36.7,72.6,30144.0,0.15,0.27,2012,0.5,0.42,0.4,0.58,0.37,0.73,0.24,0.21,0.5,2021,-9
277.0,Aberystwyth University,39.13,19.8,15.5,56.6,35.5,63.8,9252.0,0.19,0.18,2012,0.41,0.21,0.16,0.57,0.36,0.65,0.07,0.26,0.33,2021,-9
36.0,University of Edinburgh,72.0,63.0,61.4,92.3,41.3,79.8,25774.0,0.14,0.36,2012,0.76,0.66,0.62,0.92,0.41,0.81,0.2,0.19,0.67,2017,-5
174.0,University of Auckland,44.6,28.3,35.0,55.7,76.6,92.9,29787.0,0.19,0.28,2012,0.47,0.3,0.35,0.56,0.77,0.94,0.23,0.26,0.52,2018,-6
217.0,University of Georgia,42.63,44.4,36.4,37.3,27.7,30.6,33119.0,0.2,0.07,2012,0.45,0.46,0.37,0.37,0.28,0.31,0.26,0.28,0.13,2020,-8
215.0,University of Cincinnati,42.76,29.0,24.9,69.0,32.9,20.6,36108.0,0.16,0.06,2012,0.45,0.3,0.25,0.69,0.33,0.21,0.28,0.22,0.11,2017,-5
195.0,Boston College,42.4,26.5,18.9,83.5,24.2,41.4,13216.0,0.17,0.19,2012,0.45,0.28,0.19,0.84,0.24,0.42,0.1,0.24,0.35,2015,-3
301.0,York University,37.94,19.9,27.7,41.2,41.7,57.7,48007.0,0.39,0.09,2012,0.4,0.21,0.28,0.41,0.42,0.58,0.38,0.54,0.17,2019,-7
199.0,University of Leicester,41.5,27.6,30.3,56.3,34.4,84.9,14541.0,0.13,0.35,2012,0.44,0.29,0.3,0.56,0.34,0.86,0.11,0.18,0.65,2016,-4
28.0,McGill University,75.5,72.8,78.4,77.1,35.1,81.4,31326.0,0.14,0.23,2012,0.8,0.76,0.79,0.77,0.35,0.82,0.25,0.19,0.43,2020,-8
