rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,"20,775",11.1,41%,95.6,91,99.6,98.00,68.7,96.4,2021
2,Stanford University,"16,223",7.4,23%,94.9,92,96.7,99.90,90.1,79.5,2021
3,Harvard University,"21,261",9.3,25%,94.8,94,98.8,99.40,46.8,77.7,2021
4,California Institute of Technology,"2,238",6.3,33%,94.5,93,96.9,97.00,92.7,83.6,2021
5,Massachusetts Institute of Technology,"11,276",8.4,34%,94.4,91,94.4,99.70,90.4,90,2021
6,University of Cambridge,"19,370",11,38%,94,90,99.2,95.60,52.1,95.7,2021
7,"University of California, Berkeley","39,918",19.8,17%,92.2,86,97.2,99.10,84.3,72.3,2021
8,Yale University,"12,910",6,20%,91.6,92,93.8,97.90,56.1,68.4,2021
9,Princeton University,"8,091",8,23%,91.5,89,92.5,98.90,58,80.2,2021
10,The University of Chicago,"14,292",5.9,31%,90.3,89,90.5,98.60,54.9,74,2021
11,Imperial College London,"17,175",11.6,58%,89.4,82,88.2,97.20,69.6,97.4,2021
12,Johns Hopkins University,"16,432",4.4,27%,89.2,82,91.8,97.70,93.4,73.9,2021
13,University of Pennsylvania,"20,771",6.4,21%,88.9,85,89.9,98.10,77.9,66.3,2021
14,ETH Zurich,"19,632",13.1,40%,87.9,80,92.3,90.50,62.8,98,2021
15,"University of California, Los Angeles","41,673",10,17%,87.1,83,90.2,96.50,57.6,65.3,2021
16,UCL,"34,590",10.8,55%,86.9,77,89.4,96.20,42.1,96.5,2021
17,Columbia University,"27,384",5.7,39%,86.8,85,82.9,97.70,45,79.8,2021
18,University of Toronto,"74,502",20,22%,86,75,90.9,94.50,50,87.2,2021
19,Cornell University,"23,016",10.2,25%,85.3,79,86.7,97.20,36.3,73.7,2021
20,Duke University,"15,489",4.3,21%,84.8,81,80.4,96.90,99.7,65.5,2021
20,Tsinghua University,"37,484",11.6,13%,84.8,88,94.9,78.80,100,51.1,2021
22,University of Michigan-Ann Arbor,"43,873",8.3,17%,84,79,86.9,95.40,47.2,59.6,2021
23,Peking University,"38,583",11.1,16%,83.9,90,91.3,75.40,96.3,61.2,2021
24,Northwestern University,"18,529",13,19%,83.6,75,83.6,98.20,69.9,64.5,2021
25,National University of Singapore,"30,943",18,26%,83.5,76,90.8,81.50,77.8,94.8,2021
26,New York University,"44,474",8.8,34%,81.9,76,80.6,96.00,37.3,69.6,2021
27,London School of Economics and Political Science,"10,660",12,72%,81.4,69,82.5,94.30,34.1,92.8,2021
28,Carnegie Mellon University,"14,058",13.7,48%,81,65,81.3,98.90,53.3,80.5,2021
29,University of Washington,"46,258",10.7,17%,80.4,70,80.5,98.70,45.6,60.9,2021
30,University of Edinburgh,"30,650",12.1,42%,79.4,67,74.7,96.00,38.7,94.6,2021
31,University of Melbourne,"50,094",27,48%,78.9,67,76.3,90.10,74.2,93.9,2021
32,LMU Munich,"34,249",33.6,17%,78.2,69,78.7,87.90,100,68.1,2021
33,"University of California, San Diego","34,232",12,30%,77.7,60,80.4,94.30,95.6,64.4,2021
34,University of British Columbia,"53,123",18.7,32%,76.4,62,75.1,90.00,44.7,94.7,2021
35,King’s College London,"27,400",12.4,46%,76.1,57,72.4,96.60,43.6,95.4,2021
36,Karolinska Institute,"7,696",8.8,26%,76,58,72.2,95.80,71.4,87.3,2021
36,The University of Tokyo,"25,935",10.6,13%,76,88,90.7,57.70,82.6,40.1,2021
38,Georgia Institute of Technology,"26,043",23.6,27%,75.8,60,76.8,91.10,65.8,78.9,2021
39,University of Hong Kong,"18,135",18.2,43%,75.2,68,73.3,80.30,57.4,99,2021
40,McGill University,"31,578",12.8,31%,75.1,64,73.4,86.40,43.7,91.3,2021
41,Technical University of Munich,"32,377",39.8,31%,74.8,64,73.6,85.00,100,74.4,2021
42,Universität Heidelberg,"20,020",14.5,18%,74.3,68,61.7,96.60,56.9,68.4,2021
43,École Polytechnique Fédérale de Lausanne,"10,942",12.2,60%,74.1,64,66.7,85.80,73.3,98.5,2021
44,University of Texas at Austin,"49,510",16.9,10%,74,68,74.8,90.50,46.2,39.4,2021
45,KU Leuven,"45,617",36.1,15%,73.7,59,74.4,86.10,97.2,72.7,2021
46,Paris Sciences et Lettres – PSL Research University Paris,"20,701",14.7,24%,73.6,71,73,75.90,61.7,80.6,2021
47,"Nanyang Technological University, Singapore","23,902",14.8,25%,72.7,57,71.9,83.00,83.2,94,2021
48,University of Illinois at Urbana-Champaign,"45,980",17.8,24%,72.3,63,79.1,81.30,49.5,55.1,2021
49,University of Wisconsin-Madison,"39,451",9.8,13%,71.4,68,71.4,82.50,45,48.4,2021
50,Washington University in St Louis,"13,693",7.5,21%,71.1,61,58.7,99.00,40.4,59.1,2021
51,University of Manchester,"36,555",14.4,41%,70.9,57,66.5,85.60,49.2,91.7,2021
51,The University of Sydney,"46,453",19.4,43%,70.9,51,64.4,92.30,69.3,90,2021
53,University of Southern California,"41,953",13,23%,70.4,64,58.4,93.10,39.2,64.9,2021
54,Boston University,"26,510",11.1,28%,70.3,59,60.9,94.90,41.7,64.9,2021
54,Kyoto University,"22,935",9.3,11%,70.3,78,79.9,60.80,74.6,37.8,2021
56,Chinese University of Hong Kong,"18,675",19.3,33%,70.1,56,59.1,89.40,58.6,98.3,2021
56,The Hong Kong University of Science and Technology,"9,976",21.6,30%,70.1,52,63,88.90,63.6,97.4,2021
56,University of North Carolina at Chapel Hill,"30,956",8.2,8%,70.1,61,63.3,96.30,42.5,39.7,2021
59,Australian National University,"18,801",17.8,47%,69.8,49,68.3,88.40,43,96.2,2021
60,Seoul National University,"26,757",15.1,11%,69.7,72,73.8,68.80,97.8,37.4,2021
61,Brown University,"9,695",10.8,20%,69.5,62,56.6,94.00,36.1,62.3,2021
62,The University of Queensland,"40,389",35.5,38%,69.4,54,61,85.90,81,93,2021
62,Wageningen University & Research,"14,356",21,27%,69.4,48,56.4,97.30,100,83.7,2021
64,"University of California, Davis","36,395",13.6,17%,68.9,61,66.2,81.90,50.4,66.9,2021
64,Monash University,"57,406",41.7,43%,68.9,53,61.7,86.20,73.9,90.3,2021
