rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,"20,835",10.7,42%,96,91,99.60,98,74.4,96.3,2022
2,California Institute of Technology,"2,233",6.3,34%,95,93.6,96.90,97.8,90.4,83.8,2022
2,Harvard University,"21,574",9.5,24%,95,94.5,98.90,99.2,48.9,79.8,2022
4,Stanford University,"16,319",7.3,23%,95,92.3,96.80,99.9,91,79.7,2022
5,University of Cambridge,"19,680",11.1,39%,95,90.9,99.50,96.2,56.7,95.8,2022
5,Massachusetts Institute of Technology,"11,459",8.4,33%,95,90.9,94.40,99.7,93.7,89.9,2022
7,Princeton University,"7,753",7.5,23%,94,89.5,96.00,99,88.8,80.7,2022
8,"University of California, Berkeley","40,306",18.9,23%,92,85.7,96.00,99.1,84.7,77.6,2022
9,Yale University,"13,317",5.9,21%,91,90.7,93.00,97,56.2,69.9,2022
10,The University of Chicago,"14,895",6.1,33%,90,87.2,90.60,98.3,56.3,74.4,2022
11,Columbia University,"21,608",4.6,35%,90,87.8,89.60,97.3,48,79.8,2022
12,Imperial College London,"17,715",11.2,59%,89,81.4,88.30,97.6,70.8,97.5,2022
13,Johns Hopkins University,"16,552",4.3,28%,88,80,90.80,97.2,93.7,74.6,2022
13,University of Pennsylvania,"21,211",6.4,22%,88,84.5,89.20,97.1,77.6,69.7,2022
15,ETH Zurich,"20,428",14.4,41%,88,81.3,92.40,90.7,62.5,97.9,2022
16,Peking University,"31,606",10.2,19%,88,91.4,94.60,81.7,93.1,65.1,2022
16,Tsinghua University,"38,221",11.5,13%,88,88.1,95.70,86.8,100,50.6,2022
18,University of Toronto,"75,821",25.5,25%,87,77.6,93.00,92.6,61.2,89.1,2022
18,UCL,"35,760",10.6,57%,87,76.8,88.90,96.9,44.7,96.7,2022
20,"University of California, Los Angeles","42,054",10,17%,87,82.1,89.80,96,56.5,65.1,2022
21,National University of Singapore,"31,819",18.8,25%,85,76.3,90.60,87.3,75.4,94.4,2022
22,Cornell University,"23,600",10.3,25%,85,78.6,85.40,97.2,38.3,75.4,2022
23,Duke University,"15,785",4.2,22%,84,79.2,78.60,95.6,99,66.6,2022
24,University of Michigan-Ann Arbor,"44,663",8.1,17%,83,78.6,85.40,94,48.9,59.5,2022
24,Northwestern University,"18,735",13,19%,83,74.3,82.10,97.6,81.6,65.3,2022
26,New York University,"45,424",11,35%,82,75.4,83.10,94.7,41.4,72.3,2022
27,London School of Economics and Political Science,"10,910",12.1,72%,81,68,80.80,94.4,35.8,92.7,2022
28,Carnegie Mellon University,"14,163",13.5,47%,81,64.7,80.00,99,59,80.8,2022
29,University of Washington,"52,059",11.6,17%,80,68.8,78.80,99,46.3,61.7,2022
30,University of Edinburgh,"31,630",12.1,44%,79,66.1,74.20,95.6,40.2,95.2,2022
30,University of Hong Kong,"18,037",18.3,43%,79,66.2,72.20,95,58.5,98.8,2022
32,LMU Munich,"34,274",33.7,18%,79,68.1,77.90,90.3,100,69.1,2022
33,University of Melbourne,"52,098",26.5,50%,78,67.5,73.80,88.4,74.9,94,2022
34,"University of California, San Diego","36,256",12.2,29%,78,60.5,75.60,97.9,96.6,68.1,2022
35,King’s College London,"28,250",12,49%,76,57.6,71.20,96.9,43.7,95.9,2022
35,The University of Tokyo,"25,959",10.6,14%,76,86.9,90.30,58.2,88.1,42,2022
37,University of British Columbia,"54,744",18.9,33%,76,61.6,74.00,89.4,47.4,94.9,2022
38,Technical University of Munich,"32,672",38.7,33%,76,64.5,74.80,85.5,100,76.1,2022
39,Karolinska Institute,"7,937",9.6,24%,74,55.1,71.00,94.2,70.5,86.2,2022
40,École Polytechnique Fédérale de Lausanne,"11,266",12.3,62%,74,63.8,67.00,85.5,74.9,98.3,2022
40,Paris Sciences et Lettres – PSL Research University Paris,"20,547",15.1,25%,74,69.1,71.20,80.1,78.7,80.5,2022
42,Universität Heidelberg,"19,530",13.9,19%,74,67.9,59.90,95.5,54.2,69.6,2022
